date,AvgSolar,AvgWindDir,AvgWindSpeed,Beam_temperature_corrected,NH4_mean,NO3_mean,PO4_mean,SiO2_mean,doy,doy_numeric,month,monthname,synconc,year
2003-05-10,,,,,,,,,,,,,354.187094151525,
2003-05-11,,,,,,,,,,,,,381.91688262691,
2003-05-12,,,,,,,,,,,,,507.483356305839,
2003-05-13,,,,,,,,,,,,,704.463938697619,
2003-05-14,,,,,,,,,,,,,898.691727353156,
2003-05-15,,,,,,,,,,,,,1130.77987504155,
2003-05-16,,,,,,,,,,,,,1376.75263682716,
2003-05-17,,,,,,,,,,,,,1485.19506484443,
2003-05-18,,,,,,,,,,,,,1641.09420677194,
2003-05-28,,,,,,,,,,,,,3066.91777671109,
2003-05-29,,,,,,,,,,,,,3284.63329668429,
2003-05-30,,,,,,,,,,,,,3596.43684573507,
2003-05-31,,,,,,,,,,,,,4056.24883910801,
2003-06-01,,,,,,,,,,,,,4491.99803149137,
2003-06-02,,,,,,,,,,,,,4647.00244627408,
2003-06-03,,,,,,,,,,,,,5366.65544112783,
2003-06-04,,,,,,,,,,,,,6542.76316248446,
2003-06-05,,,,,,,,,,,,,7196.50917833581,
2003-06-06,,,,,,,,,,,,,7968.40697103003,
2003-06-07,,,,,,,,,,,,,9411.23192610214,
2003-06-08,,,,,,,,,,,,,11039.411350247,
2003-06-09,,,,,,,,,,,,,12396.3767996699,
2003-06-10,,,,,,,,,,,,,14032.4177236746,
2003-06-11,,,,,,,,,,,,,16415.796692248,
2003-06-12,,,,,,,,,,,,,19836.1801002615,
2003-06-13,,,,,,,,,,,,,23578.3169071939,
2003-06-14,,,,,,,,,,,,,26995.8186749231,
2003-06-15,,,,,,,,,,,,,31690.8057473507,
2003-06-16,,,,,,,,,,,,,38042.8872180314,
2003-06-17,,,,,,,,,,,,,42071.5576477656,
2003-06-18,,,,,,,,,,,,,47875.6213974401,
2003-06-19,,,,,,,,,,,,,53281.107339622,
2003-06-20,,,,,,,,,,,,,53283.8112273788,
2003-06-21,,,,,,,,,,,,,49459.5573439611,
2003-06-22,,,,,,,,,,,,,44640.1103952886,
2003-06-23,,,,,,,,,,,,,48683.7700857258,
2003-06-24,,,,,,,,,,,,,63997.0382747421,
2003-06-25,,,,,0.780577502052733,0.0950231568,0.464469107142857,2.07040359897172,,,,,80786.7062773458,
2003-06-26,,,,,,,,,,,,,96552.7137795782,
2003-06-27,,,,,,,,,,,,,112736.386402855,
2003-06-28,,,,,,,,,,,,,127448.366173728,
2003-06-29,,,,,,,,,,,,,147364.475503589,
