"","year","agoseris.heterophylla","astragalus.gambelianus","bombycilaena.californica","brodiaea.sp","bromus.berteroanus","bromus.hordeaceus","calandrinia.ciliata","calycadenia.multiglandulosa","castilleja.densiflora","chlorogalum.pomeridianum","crassula.connata","elymus.multisetus","epilobium.brachycarpum","hemizonia.congesta","hesperevax.sparsiflora","lasthenia.californica","layia.platyglossa","lepidium.nitidum","lotus.wrangelianus","microseris.douglasii","nassella.pulchra","plantago.erecta","poa.secunda","trifolium.albopurpureum","trifolium.sp","vulpia.microstachys"
"1",1983,0,0.25,0,0,1,4.25,0,6.25,3.25,0.5,0,0.25,0,0,0.25,7.5,0.25,0,2,1.5,0,20,0,0,0,2
"2",1984,3.5,1,0,1.25,0,8.75,0,17.5,3.5,2.75,0,1.75,0,1,0.5,15,1,0,0.5,1,0,20,0.25,0,0,9.75
"3",1985,0.75,0.75,0,2,1,30,0,6,0,3.75,0,1.25,0,0,1,13.75,0.5,0,2,0,0,25,0.75,0,1.25,1.5
"4",1986,1,0.25,0,1.5,1,23.75,0,12.5,0.5,0.75,0,0,0,0,0.25,5.5,0,0,4.25,1.25,0,30,0.25,0,0,0
"5",1987,0.5,0,0,2,0,4.75,0,22.5,0.5,1.25,0,0,0.25,0,0.25,6.75,0,0,2,1,0,32.5,0.25,0,0,1.25
"6",1988,0.25,0,0,1.25,0,0.5,0,8.75,0.75,2.5,0.5,0,0.25,0,0,2,0,0,2,0.75,0,77.5,0,0,0,0
"7",1989,1,0.25,0,2,0,0.5,0,17.5,0.5,2.75,0,0.5,0.75,0,0.25,3.5,0,0,2.25,1,0,60,0.25,0,0,0.25
"8",1990,0,0,0,2.75,0,0.5,0,13.75,1.5,3,0,0,0,0,0,3.5,0,0,2.25,1,0,72.5,0.75,0,0,0.25
"9",1991,0.5,0,0,4.75,0,0,0,22.5,0,2.5,0,0,0,0.25,0.5,1.25,0,0,2.75,1.25,0.5,30,5,0,0,0
"10",1992,1,0,0,2,0,0,0,17.5,0,4.25,1,0,0,0,0.5,11.25,0,0,4.75,0.5,0,55,2.5,0,0.25,1.25
"11",1993,0.5,0.5,0.25,2.75,0.5,0,0,8.75,1.75,3,0,1.25,0,0,0,27.5,0,0.25,4,6.25,0,35,1,0,0.25,12.5
"12",1994,0.5,0,0,1.5,0,0.25,0,2.25,1.75,1.5,0,1.25,0,0,0,20,0.25,0,0.5,5.5,0.25,15,0,0,0,8.75
"13",1995,1.5,1.5,0,1.25,0,0.25,0,5.25,1,0.5,0,1,0,0,0.75,22.5,1.25,0,3.75,22.5,0,20,0,0,0,7.25
"14",1996,0.25,0.75,0.5,1.75,0,2,0,18,1.75,0,0,2.5,0.5,0.5,1.75,3.5,1.25,0,3.5,25,0,8,0,0,0,23
"15",1997,0.75,0.5,1.5,1.75,0,6.25,0,22.5,2.5,0,0,1.25,0.75,0,6.25,3,1,0,2.25,3.75,2.5,37.5,0,0,0,15.5
"16",1998,1.5,1,0.25,1,0.5,0.5,0,17.5,4.25,0,1.75,7.75,1,1,13.5,3,1,0,5.5,0,0,47.5,0.5,0,0,1.5
"17",1999,2,0.5,0,2,0,1.25,0,35,0.75,0,0.5,11.25,1.75,0,1,5,0,0,1.5,0,0,35,0,0,0,0.25
"18",2000,1,0,0,2,0,0.5,0,18.75,1.5,0,0,10,0.25,0.5,2.75,8.75,1.25,0,1,3,0,35,1.25,0,0,1
"19",2001,1.5,0.5,3,2,0,0,0,16.25,8,0,0,6.25,0.25,0,0.5,22.5,0,0,0.5,1.5,5.5,32.5,0.5,0,0,0.5
"20",2002,2.25,0,5.5,4.75,0,0.5,0,9.25,3,0,0,10.5,0,0,8,25,0.25,0,0.5,8.5,0,25,1.25,0,0,0.75
"21",2003,2,0,11.25,2,0,0.5,0,16.25,1.5,0,0,0,0,0.25,4,25,1,0,0.5,20,1.25,15,0,0,0,0
"22",2004,0.5,0.25,6.75,0.5,0,1,0,4.25,0.5,0,0,0,0,0,1.25,5.5,0,0,0,4.25,0,8,0,0,0,0
"23",2005,1.5,0.75,4.25,2,0,0.5,0,15,0.25,0,0,1.25,0,0.5,4.25,7.5,1.25,0,2.25,32.5,2.5,11.25,0,0,0,1
"24",2006,1.5,1,3,2.75,0,1,0,16.25,1.5,0,0,0,0,0,4.75,8.75,0.5,0,1,30,0,20,1.25,0,0,0
"25",2007,1,0,3.5,1.5,0,9.25,0,12.5,0.5,0,0,0.5,0,0.25,2,6.75,1.25,0,0.5,1.75,0.5,11.25,0,0,0,0.5
"26",2008,0,0,3.5,1.5,0,12.5,0.5,13.75,0,0,0,3.75,0,0,4,5,1,0,1.5,0,1.25,35,3.75,0,0,1
"27",2009,0.5,0,1,1.5,0,0.5,0,4.75,0.25,0,0,2.75,0,0.25,1,3.5,2,0,1.25,2.25,1.75,75,1.75,1,0,0
"28",2010,0.5,0.5,0.5,2.75,0,0.75,0,1.5,0.75,0,0,3,0,0,2.75,2.5,0.75,0,0.5,2,1.5,77.5,0,0,0,0.75
