2022-09-07 12:22:25,388 INFO    MainThread:17857 [wandb_setup.py:_flush():76] Configure stats pid to 17857
2022-09-07 12:22:25,389 INFO    MainThread:17857 [wandb_setup.py:_flush():76] Loading settings from /home/mira/.config/wandb/settings
2022-09-07 12:22:25,389 INFO    MainThread:17857 [wandb_setup.py:_flush():76] Loading settings from /home/mira/PycharmProjects/gp_plankton_model/wandb/settings
2022-09-07 12:22:25,389 INFO    MainThread:17857 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-09-07 12:22:25,389 INFO    MainThread:17857 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train/train.py', 'program': '/home/mira/PycharmProjects/gp_plankton_model/train/train.py'}
2022-09-07 12:22:25,389 INFO    MainThread:17857 [wandb_init.py:_log_setup():461] Logging user logs to /home/mira/PycharmProjects/gp_plankton_model/wandb/run-20220907_122225-r411cuob/logs/debug.log
2022-09-07 12:22:25,389 INFO    MainThread:17857 [wandb_init.py:_log_setup():462] Logging internal logs to /home/mira/PycharmProjects/gp_plankton_model/wandb/run-20220907_122225-r411cuob/logs/debug-internal.log
2022-09-07 12:22:25,389 INFO    MainThread:17857 [wandb_init.py:init():495] calling init triggers
2022-09-07 12:22:25,389 INFO    MainThread:17857 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-09-07 12:22:25,389 INFO    MainThread:17857 [wandb_init.py:init():548] starting backend
2022-09-07 12:22:25,389 INFO    MainThread:17857 [wandb_init.py:init():552] setting up manager
2022-09-07 12:22:25,391 INFO    MainThread:17857 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-09-07 12:22:25,393 INFO    MainThread:17857 [wandb_init.py:init():558] backend started and connected
2022-09-07 12:22:25,394 INFO    MainThread:17857 [wandb_init.py:init():636] updated telemetry
2022-09-07 12:22:25,399 INFO    MainThread:17857 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-09-07 12:22:25,834 INFO    MainThread:17857 [wandb_run.py:_on_init():1982] communicating current version
2022-09-07 12:22:26,287 INFO    MainThread:17857 [wandb_run.py:_on_init():1986] got version response upgrade_message: "wandb version 0.13.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-09-07 12:22:26,287 INFO    MainThread:17857 [wandb_init.py:init():700] starting run threads in backend
2022-09-07 12:22:29,907 INFO    MainThread:17857 [wandb_run.py:_console_start():1962] atexit reg
2022-09-07 12:22:29,907 INFO    MainThread:17857 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-09-07 12:22:29,907 INFO    MainThread:17857 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-09-07 12:22:29,907 INFO    MainThread:17857 [wandb_run.py:_redirect():1907] Redirects installed.
2022-09-07 12:22:29,908 INFO    MainThread:17857 [wandb_init.py:init():732] run started, returning control to user process
2022-09-07 12:22:29,908 INFO    MainThread:17857 [wandb_config.py:__setitem__():149] config set train_size = 0.5 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f9d35cdd780>>
2022-09-07 12:22:29,908 INFO    MainThread:17857 [wandb_run.py:_config_callback():1152] config_cb train_size 0.5 None
2022-09-07 12:22:29,909 INFO    MainThread:17857 [wandb_config.py:__setitem__():149] config set num_mixtures = 4 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f9d35cdd780>>
2022-09-07 12:22:29,909 INFO    MainThread:17857 [wandb_run.py:_config_callback():1152] config_cb num_mixtures 4 None
2022-09-07 12:22:29,909 INFO    MainThread:17857 [wandb_config.py:__setitem__():149] config set learning_rate = 0.1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f9d35cdd780>>
2022-09-07 12:22:29,909 INFO    MainThread:17857 [wandb_run.py:_config_callback():1152] config_cb learning_rate 0.1 None
2022-09-07 12:22:29,909 INFO    MainThread:17857 [wandb_config.py:__setitem__():149] config set predictor = daily_index - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f9d35cdd780>>
2022-09-07 12:22:29,909 INFO    MainThread:17857 [wandb_run.py:_config_callback():1152] config_cb predictor daily_index None
2022-09-07 12:22:29,909 INFO    MainThread:17857 [wandb_config.py:__setitem__():149] config set dependent = synconc - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f9d35cdd780>>
2022-09-07 12:22:29,909 INFO    MainThread:17857 [wandb_run.py:_config_callback():1152] config_cb dependent synconc None
2022-09-07 12:22:30,046 INFO    MainThread:17857 [wandb_config.py:__setitem__():149] config set X_train_shape = [2694] - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f9d35cdd780>>
2022-09-07 12:22:30,046 INFO    MainThread:17857 [wandb_run.py:_config_callback():1152] config_cb X_train_shape [2694] None
2022-09-07 12:22:30,046 INFO    MainThread:17857 [wandb_config.py:__setitem__():149] config set y_train_shape = [2694] - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f9d35cdd780>>
2022-09-07 12:22:30,046 INFO    MainThread:17857 [wandb_run.py:_config_callback():1152] config_cb y_train_shape [2694] None
2022-09-07 12:22:30,046 INFO    MainThread:17857 [wandb_config.py:__setitem__():149] config set X_test_shape = [2693] - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f9d35cdd780>>
2022-09-07 12:22:30,046 INFO    MainThread:17857 [wandb_run.py:_config_callback():1152] config_cb X_test_shape [2693] None
2022-09-07 12:22:30,047 INFO    MainThread:17857 [wandb_config.py:__setitem__():149] config set y_test_shape = [2693] - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f9d35cdd780>>
2022-09-07 12:22:30,047 INFO    MainThread:17857 [wandb_run.py:_config_callback():1152] config_cb y_test_shape [2693] None
2022-09-07 12:22:30,047 INFO    MainThread:17857 [wandb_config.py:__setitem__():149] config set sp_mixture_better_lower_bound = 1e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f9d35cdd780>>
2022-09-07 12:22:30,047 INFO    MainThread:17857 [wandb_run.py:_config_callback():1152] config_cb sp_mixture_better_lower_bound 1e-05 None
2022-09-07 12:22:36,262 WARNING MsgRouterThr:17857 [router.py:message_loop():76] message_loop has been closed
